experiment_name,dataset_variant,train_loss,validation_loss,train_script,model_path,config
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,3.608757019,3.681362081,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,5.62512207,5.708377099,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,7.008761406,7.045684671,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1.25e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00125;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,3.357940674,3.508511603,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,5.365944386,5.475170398,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,6.543617725,6.595678735,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,3.64563942,3.717827213,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,5.630478859,5.716034102,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_8k_vocab_8192_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=8192;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=8k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0,42m,7.075904846,7.111250329,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_16k_vocab_16384_lr_1e-3_batch_16_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=16384;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.001;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=16;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=16k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_0.75e-3_batch_8_dropout_0.0_weight_decay_0.0,42m,3.380995274,3.539196014,pretrain_base.py,/home/samuele/Desktop/pavullmo/models/sweep_20260813T085338Z-3943_arch_20m_dataset_42m_tokenizer_4k_vocab_4096_lr_0.75e-3_batch_8_dropout_0.0_weight_decay_0.0.pt,VOCAB_SIZE=4096;N_BLOCKS=8;EMBED_DIM=384;ATTN_HEADS=6;FFN_DIM=1024;SEQ_LEN=1024;ROPE_BASE=10000.0;LR=0.00075;MIN_LR=0.0;ADAM_BETA1=0.9;ADAM_BETA2=0.95;ADAM_EPS=1e-08;WARMUP_STEPS=10;BATCH_SIZE=8;GRAD_ACCUM_STEPS=1;EPOCHS=1;MAX_STEPS=0;DROPOUT=0.0;WEIGHT_DECAY=0.0;MAX_GRAD_NORM=1.0;SEED=42;DATASET_PREFIX=4k;DATASET_VARIANT=42m;VALIDATION_INTERVAL=100;VALIDATION_STEPS=20;COMPILE_MODEL=True;COMPILE_MODE=default
